phase	rep	threads	alloc	system	dbsize	val	ratio	ops	crash
A	1	8	jem	2s_epoll	dram	1024	1:9	2157952	0
A	1	8	jem	2s_epoll	dram	1024	1:1	2500078	0
A	1	8	jem	2s_epoll	dram	1024	1:0	2675432	0
A	1	8	jem	2s_epoll	dram	4096	1:9	592137	0
A	1	8	jem	2s_epoll	dram	4096	1:1	958707	0
A	1	8	jem	2s_epoll	dram	4096	1:0	1335534	0
A	1	8	jem	2s_epoll	dram	16384	1:9	305208	0
A	1	8	jem	2s_epoll	dram	16384	1:1	344397	0
A	1	8	jem	2s_epoll	dram	16384	1:0	408580	0
A	1	8	jem	2s_uring	cache	16	1:9	4671950	0
A	1	8	jem	2s_uring	cache	16	1:1	4172464	0
A	1	8	jem	2s_uring	cache	16	1:0	4595930	0
A	1	8	jem	2s_uring	cache	64	1:9	4325326	0
A	1	8	jem	2s_uring	cache	64	1:1	3931111	0
A	1	8	jem	2s_uring	cache	64	1:0	3906778	0
A	1	8	jem	2s_uring	cache	256	1:9	4024309	0
A	1	8	jem	2s_uring	cache	256	1:1	3773861	0
A	1	8	jem	2s_uring	cache	256	1:0	3691170	0
A	1	8	jem	2s_uring	cache	1024	1:9	2189753	0
A	1	8	jem	2s_uring	cache	1024	1:1	2606797	0
A	1	8	jem	2s_uring	cache	1024	1:0	2737448	0
A	1	8	jem	2s_uring	cache	4096	1:9	591817	0
A	1	8	jem	2s_uring	cache	4096	1:1	919369	0
A	1	8	jem	2s_uring	cache	4096	1:0	1379656	0
A	1	8	jem	2s_uring	cache	16384	1:9	305564	0
A	1	8	jem	2s_uring	cache	16384	1:1	345891	0
A	1	8	jem	2s_uring	cache	16384	1:0	405255	0
A	1	8	jem	2s_uring	dram	16	1:9	4308539	0
A	1	8	jem	2s_uring	dram	16	1:1	4100599	0
A	1	8	jem	2s_uring	dram	16	1:0	4133508	0
A	1	8	jem	2s_uring	dram	64	1:9	4153381	0
A	1	8	jem	2s_uring	dram	64	1:1	3769315	0
A	1	8	jem	2s_uring	dram	64	1:0	3812741	0
A	1	8	jem	2s_uring	dram	256	1:9	3853910	0
A	1	8	jem	2s_uring	dram	256	1:1	3590593	0
A	1	8	jem	2s_uring	dram	256	1:0	3503132	0
A	1	8	jem	2s_uring	dram	1024	1:9	2215918	0
A	1	8	jem	2s_uring	dram	1024	1:1	2407558	0
A	1	8	jem	2s_uring	dram	1024	1:0	2655473	0
A	1	8	jem	2s_uring	dram	4096	1:9	604545	0
A	1	8	jem	2s_uring	dram	4096	1:1	940483	0
A	1	8	jem	2s_uring	dram	4096	1:0	1298133	0
A	1	8	jem	2s_uring	dram	16384	1:9	303608	0
A	1	8	jem	2s_uring	dram	16384	1:1	344859	0
A	1	8	jem	2s_uring	dram	16384	1:0	399851	0
A	1	8	jem	3s_epoll	cache	16	1:9	4500311	0
A	1	8	jem	3s_epoll	cache	16	1:1	3750303	0
A	1	8	jem	3s_epoll	cache	16	1:0	3690339	0
A	1	8	jem	3s_epoll	cache	64	1:9	3716259	0
A	1	8	jem	3s_epoll	cache	64	1:1	3613178	0
A	1	8	jem	3s_epoll	cache	64	1:0	3503926	0
A	1	8	jem	3s_epoll	cache	256	1:9	3458843	0
A	1	8	jem	3s_epoll	cache	256	1:1	3395946	0
A	1	8	jem	3s_epoll	cache	256	1:0	3315371	0
A	1	8	jem	3s_epoll	cache	1024	1:9	1909418	0
A	1	8	jem	3s_epoll	cache	1024	1:1	2254631	0
A	1	8	jem	3s_epoll	cache	1024	1:0	2499570	0
A	1	8	jem	3s_epoll	cache	4096	1:9	0	0
A	1	8	jem	3s_epoll	cache	4096	1:1	0	0
A	1	8	jem	3s_epoll	cache	4096	1:0	0	0
A	1	8	jem	3s_epoll	cache	16384	1:9	0	0
A	1	8	jem	3s_epoll	cache	16384	1:1	0	0
A	1	8	jem	3s_epoll	cache	16384	1:0	0	0
A	1	8	jem	3s_epoll	dram	16	1:9	0	0
A	1	8	jem	3s_epoll	dram	16	1:1	0	0
A	1	8	jem	3s_epoll	dram	16	1:0	0	0
A	1	8	jem	3s_epoll	dram	64	1:9	0	0
A	1	8	jem	3s_epoll	dram	64	1:1	0	0
A	1	8	jem	3s_epoll	dram	64	1:0	0	0
A	1	8	jem	3s_epoll	dram	256	1:9	0	0
A	1	8	jem	3s_epoll	dram	256	1:1	0	0
A	1	8	jem	3s_epoll	dram	256	1:0	0	0
A	1	8	jem	3s_epoll	dram	1024	1:9	0	0
A	1	8	jem	3s_epoll	dram	1024	1:1	0	0
A	1	8	jem	3s_epoll	dram	1024	1:0	0	0
A	1	8	jem	3s_epoll	dram	4096	1:9	0	0
A	1	8	jem	3s_epoll	dram	4096	1:1	0	0
A	1	8	jem	3s_epoll	dram	4096	1:0	0	0
A	1	8	jem	3s_epoll	dram	16384	1:9	0	0
A	1	8	jem	3s_epoll	dram	16384	1:1	0	0
A	1	8	jem	3s_epoll	dram	16384	1:0	0	0
A	1	8	jem	3s_uring	cache	16	1:9	4393398	0
A	1	8	jem	3s_uring	cache	16	1:1	3659475	0
A	1	8	jem	3s_uring	cache	16	1:0	3619155	0
A	1	8	jem	3s_uring	cache	64	1:9	3700863	0
A	1	8	jem	3s_uring	cache	64	1:1	3449657	0
A	1	8	jem	3s_uring	cache	64	1:0	3636101	0
A	1	8	jem	3s_uring	cache	256	1:9	3496500	0
A	1	8	jem	3s_uring	cache	256	1:1	3321606	0
A	1	8	jem	3s_uring	cache	256	1:0	3324047	0
A	1	8	jem	3s_uring	cache	1024	1:9	1844795	0
A	1	8	jem	3s_uring	cache	1024	1:1	2093631	0
A	1	8	jem	3s_uring	cache	1024	1:0	2474362	0
A	1	8	jem	3s_uring	cache	4096	1:9	0	0
A	1	8	jem	3s_uring	cache	4096	1:1	0	0
A	1	8	jem	3s_uring	cache	4096	1:0	0	0
A	1	8	jem	3s_uring	cache	16384	1:9	0	0
A	1	8	jem	3s_uring	cache	16384	1:1	0	0
A	1	8	jem	3s_uring	cache	16384	1:0	0	0
A	1	8	jem	3s_uring	dram	16	1:9	0	0
A	1	8	jem	3s_uring	dram	16	1:1	0	0
A	1	8	jem	3s_uring	dram	16	1:0	0	0
