round	fork	config	cell	ops	note
2	2s	2s_loo_nonextop	GET_d256_P32	2735848.31	
2	2s	2s_loo_nonextop	SET_d256_P32	5333865.56	
2	2s	2s_loo_nonextop	GET_d1024_P32	2325022.00	
2	2s	2s_loo_nonextop	MIX_d64_P16	5130523.73	
2	2s	2s_loo_nonextop	HOT_G256	1609039.58	
2	2s	2s_loo_nonextop	FB_ETC	1546239.70	
2	2s	2s_loo_nouring	GET_d32_P32	7886923.02	
2	2s	2s_loo_nouring	GET_d256_P32	2882637.93	
2	2s	2s_loo_nouring	SET_d256_P32	5378831.19	
2	2s	2s_loo_nouring	GET_d1024_P32	2412844.32	
2	2s	2s_loo_nouring	MIX_d64_P16	5728442.22	
2	2s	2s_loo_nouring	HOT_G256	1689250.20	
2	2s	2s_loo_nouring	FB_ETC	1646121.50	
2	2s	2s_val_nextop4	GET_d32_P32	7844239.84	
2	2s	2s_val_nextop4	GET_d256_P32	2893021.40	
2	2s	2s_val_nextop4	SET_d256_P32	5262735.71	
2	2s	2s_val_nextop4	GET_d1024_P32	2413936.16	
2	2s	2s_val_nextop4	MIX_d64_P16	5713102.55	
2	2s	2s_val_nextop4	HOT_G256	1754954.16	
2	2s	2s_val_nextop4	FB_ETC	1628164.88	
2	2s	2s_val_nextop16	GET_d32_P32	7973805.10	
2	2s	2s_val_nextop16	GET_d256_P32	2865524.56	
2	2s	2s_val_nextop16	SET_d256_P32	5244386.58	
2	2s	2s_val_nextop16	GET_d1024_P32	2370321.20	
2	2s	2s_val_nextop16	MIX_d64_P16	5849575.20	
2	2s	2s_val_nextop16	HOT_G256	1713649.13	
2	2s	2s_val_nextop16	FB_ETC	1571157.76	
2	2s	2s_val_nextop64	GET_d32_P32	7995266.42	
2	2s	2s_val_nextop64	GET_d256_P32	2845955.46	
2	2s	2s_val_nextop64	SET_d256_P32	5261210.31	
2	2s	2s_val_nextop64	GET_d1024_P32	2341505.71	
2	2s	2s_val_nextop64	MIX_d64_P16	5804580.63	
2	2s	2s_val_nextop64	HOT_G256	1651873.48	
2	2s	2s_val_nextop64	FB_ETC	1605159.63	
2	2s	2s_val_numcdb2	GET_d32_P32	7893451.28	
2	2s	2s_val_numcdb2	GET_d256_P32	2867198.48	
2	2s	2s_val_numcdb2	SET_d256_P32	5201886.38	
2	2s	2s_val_numcdb2	GET_d1024_P32	2422867.54	
2	2s	2s_val_numcdb2	MIX_d64_P16	5693307.15	
